delta_T_pred,delta_T_std,Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),T_ET,T_pred,T_pred_lower_95,T_pred_unconstrained,T_pred_upper_95,T_warped_ET
282.287,247.375,27.7858,-0.394846,0.662185,-0.636874,-120,32,-24.8571,0.197423,3999.25,3454.85,2969.99,3454.85,3939.7,3172.56
80.0054,243.989,28.0035,-0.395858,0.62802,-0.669991,-108.392,32,-31.25,0.197929,3920.76,3454.85,2976.63,3454.85,3933.06,3374.84
145.715,245.211,27.5093,-0.37787,0.620281,-0.687362,-112,32,-29.2552,0.188935,3956.97,3454.85,2974.23,3454.85,3935.46,3309.13
74.1641,242.848,29.1887,-0.392564,0.666067,-0.634231,-104,34.4152,-31.25,0.196282,3913.74,3454.85,2978.86,3454.85,3930.83,3380.68
73.4173,242.473,31.8888,-0.368549,0.742345,-0.55955,-96,38.7414,-31.25,0.184275,3883.44,3454.85,2979.6,3454.85,3930.09,3381.43
241.266,242.994,30.8613,-0.335373,0.731762,-0.593338,-104,40,-25.2764,0.167686,4027.72,3454.85,2978.58,3454.85,3931.11,3213.58
75.8376,242.399,33.0195,-0.355274,0.765294,-0.536755,-93.6161,40,-31.25,0.177637,3868.87,3454.85,2979.74,3454.85,3929.95,3379.01
112.943,243.135,32.21,-0.345478,0.749261,-0.565024,-96,40,-29.6916,0.172739,3926.55,3454.85,2978.3,3454.85,3931.39,3341.9
73.3472,243.292,35.5699,-0.32463,0.815042,-0.479918,-88,42.3188,-31.25,0.162315,3841.01,3454.85,2977.99,3454.85,3931.7,3381.5
63.888,246.566,39.8324,-0.256052,0.870947,-0.41939,-80,45.1053,-31.25,0.128026,3794.91,3454.85,2971.58,3454.85,3938.12,3390.96
40.4885,246.018,44.4753,-0.174153,0.907195,-0.382973,-72,47.1591,-31.25,0.0870766,3748.43,3454.85,2972.65,3454.85,3937.04,3414.36
163.565,248.07,41.547,-0.209093,0.880482,-0.425478,-80,48,-25.3456,0.104546,4036.38,3454.85,2968.63,3454.85,3941.06,3291.28
9.26055,245.266,46.5962,-0.103903,0.921834,-0.373398,-66.7005,48,-31.25,0.0519515,3719.75,3454.85,2974.13,3454.85,3935.57,3445.59
68.4619,246.069,45.2361,-0.166674,0.908211,-0.383891,-72,48,-29.3707,0.0833369,3840.15,3454.85,2972.55,3454.85,3937.14,3386.38
-9.10366,245.693,47.5569,-0.0716569,0.926515,-0.369371,-64,48.3592,-31.25,0.0358285,3706.71,3454.85,2973.29,3454.85,3936.4,3463.95
