delta_T_pred,delta_T_std,Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),T_ET,T_pred,T_pred_lower_95,T_pred_unconstrained,T_pred_upper_95,T_warped_ET
-225.694,204.465,35.4667,-0.19396,0.745751,-0.637366,-80,37.6083,-39.0625,0.0969801,3553.01,3454.85,3054.09,3454.85,3855.6,3680.54
-271.136,202.172,43.0767,-0.193267,0.784347,-0.589447,-72,39.8147,-39.0625,0.0966335,3491.82,3454.85,3058.59,3454.85,3851.1,3725.98
-2.76474,191.52,33.2547,-0.218662,0.74616,-0.628834,-88,40,-34.7488,0.109331,3717.59,3454.85,3079.47,3454.85,3830.23,3457.61
-141.7,202.542,36.6919,-0.166719,0.762874,-0.624682,-80,40,-36.5606,0.0833594,3648.22,3454.85,3057.86,3454.85,3851.83,3596.55
-271.852,201.202,43.6214,-0.189111,0.787749,-0.586249,-71.4077,40,-39.0625,0.0945553,3484.57,3454.85,3060.49,3454.85,3849.2,3726.7
-264.615,201.958,43.17,-0.190254,0.785396,-0.58903,-72,40,-38.8437,0.0951268,3501.98,3454.85,3059.01,3454.85,3850.68,3719.46
-294.856,191.377,50.044,-0.174566,0.816596,-0.550179,-64,41.7873,-39.0625,0.0872831,3402.59,3454.85,3079.75,3454.85,3829.95,3749.7
-311.23,192.162,55.512,-0.0968854,0.840524,-0.533041,-56,43.306,-39.0625,0.0484427,3298.57,3454.85,3078.21,3454.85,3831.48,3766.08
-134.659,194.943,57.5046,-0.0423866,0.867702,-0.495274,-56,48,-31.5072,0.0211933,3686.08,3454.85,3072.76,3454.85,3836.94,3589.5
176.989,212.598,26.497,-0.713948,0.267036,-0.647279,-135.468,0,-31.25,0.356974,3866.76,3454.85,3038.15,3454.85,3871.54,3277.86
186.546,212.995,26.7218,-0.723672,0.260879,-0.638937,-136,0,-30.8108,0.361836,3872.52,3454.85,3037.38,3454.85,3872.32,3268.3
106.842,200.921,24.4191,-0.587138,0.380405,-0.714536,-130.778,8,-31.25,0.293569,3927.48,3454.85,3061.04,3454.85,3848.65,3348
200.689,208.382,24.7423,-0.657295,0.354923,-0.664825,-136,8,-27.4353,0.328648,3966.82,3454.85,3046.42,3454.85,3863.27,3254.16
82.6341,196.998,24.6231,-0.560325,0.416334,-0.716032,-128,11.1071,-31.25,0.280162,3948.6,3454.85,3068.73,3454.85,3840.96,3372.21
67.1182,194.072,25.6937,-0.577451,0.421502,-0.699204,-124.902,16,-31.25,0.288725,3958.92,3454.85,3074.47,3454.85,3835.23,3387.73
121.928,197.977,25.3617,-0.581701,0.447207,-0.679434,-128,16,-28.1933,0.29085,4021.79,3454.85,3066.81,3454.85,3842.88,3332.92
92.7953,185.187,27.6593,-0.567087,0.484561,-0.666043,-120,23.0138,-31.25,0.283543,3933.51,3454.85,3091.88,3454.85,3817.81,3362.05
93.791,185.09,27.7488,-0.554939,0.500827,-0.66424,-119.2,24,-31.25,0.27747,3931.14,3454.85,3092.07,3454.85,3817.62,3361.05
108.351,184.589,27.8712,-0.565516,0.49822,-0.657243,-120,24,-30.6001,0.282758,3945.09,3454.85,3093.05,3454.85,3816.64,3346.49
105.797,187.816,29.063,-0.441411,0.626579,-0.642304,-112,30.1768,-31.25,0.220706,3909.14,3454.85,3086.73,3454.85,3822.97,3349.05
102.4,188.123,29.8998,-0.423404,0.646617,-0.63452,-109.452,32,-31.25,0.211702,3904.93,3454.85,3086.13,3454.85,3823.57,3352.45
147.252,187.312,29.8599,-0.437281,0.653405,-0.617937,-112,32,-29.5473,0.218641,3943.78,3454.85,3087.72,3454.85,3821.98,3307.59
93.4955,189.028,31.2876,-0.396765,0.678933,-0.617761,-104,34.9524,-31.25,0.198382,3897.59,3454.85,3084.35,3454.85,3825.34,3361.35
116.918,190.13,34.2936,-0.341586,0.735962,-0.584533,-96,39.824,-31.25,0.170793,3848.45,3454.85,3082.19,3454.85,3827.5,3337.93
239.968,187.417,34.4715,-0.396899,0.753425,-0.524234,-104,40,-25.0476,0.19845,4038.52,3454.85,3087.51,3454.85,3822.18,3214.88
116.131,190.17,34.3687,-0.335892,0.738796,-0.584258,-95.611,40,-31.25,0.167946,3847.02,3454.85,3082.11,3454.85,3827.58,3338.71
122.657,190.11,34.4317,-0.341601,0.738592,-0.581197,-96,40,-31.0621,0.170801,3852.87,3454.85,3082.23,3454.85,3827.46,3332.19
81.8329,188.088,35.5765,-0.208323,0.789206,-0.577716,-88,42.4962,-31.25,0.104161,3834.18,3454.85,3086.19,3454.85,3823.5,3373.01
-8.40134,194.487,40.0774,-0.143531,0.813723,-0.563252,-80,43.742,-31.25,0.0717653,3850.61,3454.85,3073.65,3454.85,3836.04,3463.25
-75.1479,195.472,47.5648,-0.168848,0.826248,-0.537406,-72,45.1846,-31.25,0.0844238,3833.32,3454.85,3071.72,3454.85,3837.97,3529.99
-88.7845,192.47,53.3774,-0.147051,0.842676,-0.517951,-64,47.1129,-31.25,0.0735253,3763.31,3454.85,3077.6,3454.85,3832.09,3543.63
157.586,187.922,45.5814,-0.131046,0.873213,-0.469389,-80,48,-24.6896,0.0655229,4076.34,3454.85,3086.52,3454.85,3823.17,3297.26
41.5142,196.846,50.9673,-0.159289,0.855597,-0.492525,-72,48,-26.9902,0.0796444,4002.11,3454.85,3069.03,3454.85,3840.66,3413.33
-121.721,194.568,56.9353,-0.0571355,0.865469,-0.497694,-57.2975,48,-31.25,0.0285678,3708.07,3454.85,3073.49,3454.85,3836.2,3576.57
-50.4866,193.776,54.0388,-0.139169,0.850867,-0.506614,-64,48,-29.9046,0.0695845,3824.74,3454.85,3075.05,3454.85,3834.65,3505.33
-129.373,195.038,57.6249,-0.0425486,0.868562,-0.493751,-56,48.1435,-31.25,0.0212743,3698.17,3454.85,3072.57,3454.85,3837.12,3584.22
