x,y,z,temp,G,R
101.0,2.0,-47.74444,3454.8464,61716047.67595667,0.04324834794316225
102.0,2.0,-47.65523,3454.8464,61161567.81013483,0.04570883726098083
103.0,2.0,-47.56096,3454.8464,60608689.68706362,0.048180888450959844
104.0,2.0,-47.461582,3454.8464,60057433.97472909,0.05066473974478604
105.0,2.0,-47.35706,3454.8464,59507822.49689584,0.053160625671839476
106.0,2.0,-47.247364,3454.8464,58959878.17798049,0.05566877671897378
107.0,2.0,-47.132454,3454.8464,58413624.98577299,0.058189419007840394
108.0,2.0,-47.01229,3454.8464,57869087.87216339,0.060722773991008026
97.335365,3.0,-48.0,3454.8464,63755805.258846946,0.03438598529482269
97.0,3.586878,-48.0,3454.8464,63938643.01528655,0.03362523488990335
98.0,3.0,-47.95369,3454.8464,63382884.43263569,0.03599360905225685
99.0,3.0,-47.879307,3454.8464,62823719.12159947,0.038421298393304715
100.0,3.0,-47.79996,3454.8464,62266104.7659715,0.04085980477638837
101.0,3.0,-47.715614,3454.8464,61710058.264458574,0.04330937434858867
102.0,3.0,-47.626232,3454.8464,61155597.818966344,0.04577025065352312
103.0,3.0,-47.53178,3454.8464,60602742.88697086,0.04824267424793045
104.0,3.0,-47.432217,3454.8464,60051514.13123768,0.05072688233171484
105.0,3.0,-47.32751,3454.8464,59501933.367058866,0.05322310839282142
106.0,3.0,-47.217625,3454.8464,58954023.507161446,0.055731581868377775
107.0,3.0,-47.10252,3454.8464,58407808.504461884,0.05825252782347749
96.75019,4.0,-48.0,3454.8464,64075832.08049071,0.03305727520009283
96.0,4.9603014,-48.0,3454.8464,64487053.13153186,0.031353923958977396
97.0,4.0,-47.983696,3454.8464,63935173.15933743,0.0336595651482016
98.0,4.0,-47.914017,3454.8464,63374478.679144904,0.03607729230616735
99.0,4.0,-47.839405,3454.8464,62815324.857707515,0.03850557329366787
100.0,4.0,-47.75982,3454.8464,62257727.25680025,0.04094465509632711
101.0,4.0,-47.67523,3454.8464,61701702.78156826,0.043394782470920476
102.0,4.0,-47.585594,3454.8464,61147269.63571222,0.04585619755180096
103.0,4.0,-47.490887,3454.8464,60594447.273882404,0.048329139469305324
104.0,4.0,-47.391068,3454.8464,60043256.35143516,0.05081384398164551
105.0,4.0,-47.286102,3454.8464,59493718.671704784,0.053310543121686496
106.0,4.0,-47.17595,3454.8464,58945857.13096,0.05581946486009171
